name,repository_path,source_path,sha256,description
"career-company-jobs","skills/career-company-jobs/SKILL.md","$CODEX_HOME/skills/career-company-jobs/SKILL.md","a541825187c833ca58bba553bc887067e6c3e923a8854b9cf6ade3b4de44e676",""
"career-gemini-interview-prep-prompt","skills/career-gemini-interview-prep-prompt/SKILL.md","$CODEX_HOME/skills/career-gemini-interview-prep-prompt/SKILL.md","80a798687c23f785f3ce834e20707ae7117a70fd44147906e5aabb5880ae8ad6",""
"career-job-fit-evaluator","skills/career-job-fit-evaluator/SKILL.md","$CODEX_HOME/skills/career-job-fit-evaluator/SKILL.md","b5d5306e3b5a9dba65a42a0d0bcd5897b239d77a919e49c0586beb367278561e",""
"career-review-company-ratings","skills/career-review-company-ratings/SKILL.md","$CODEX_HOME/skills/career-review-company-ratings/SKILL.md","072bfc8d1e25ab7d2cb3cc7bcfc9c90076ef2fc742ea13d493c8d6439a7c0a07",""
"career-salary-market-research","skills/career-salary-market-research/SKILL.md","$CODEX_HOME/skills/career-salary-market-research/SKILL.md","1775f89fd18b52255b4e0d3530ac263167540ea4c4df5b873f072c80f66a6d97",""
"career-tailor-cv-to-job","skills/career-tailor-cv-to-job/SKILL.md","$CODEX_HOME/skills/career-tailor-cv-to-job/SKILL.md","800c59727dcfed8f93b9ad1709bb448808149229f7adf2817917b37b1ddfe3fe",""
"career-translate-cv-to-english","skills/career-translate-cv-to-english/SKILL.md","$CODEX_HOME/skills/career-translate-cv-to-english/SKILL.md","dd1d2fb9e1918a48aef5f31bf124d70297641a06b9ca5a6a1faf1860665b731a",""
"codex-ops-publish-local-skills-catalog","skills/codex-ops-publish-local-skills-catalog/SKILL.md","$CODEX_HOME/skills/codex-ops-publish-local-skills-catalog/SKILL.md","be95f876486a0c54aa5c5071619030b4bf480b26c6cf0e58b2920eece70a6ea8",""
"codex-ops-skill-usage-auditor","skills/codex-ops-skill-usage-auditor/SKILL.md","$CODEX_HOME/skills/codex-ops-skill-usage-auditor/SKILL.md","66cf59b4274be774c058e6f3d2877c5ef7d3bb1b43a766ac813bd0af57af661d",""
"product-dev-prd-to-codex-prompt","skills/product-dev-prd-to-codex-prompt/SKILL.md","$CODEX_HOME/skills/product-dev-prd-to-codex-prompt/SKILL.md","3dc9ff173f12430bb89e8e35e1c7447f4d7f1b218ad8bcffcd49e7b947c1a3e9",""
"product-prd-interviewer","skills/product-prd-interviewer/SKILL.md","$CODEX_HOME/skills/product-prd-interviewer/SKILL.md","c64d690a509f25d31a46164330c6affc0dcec1a8764dc4bcb8c96f8329871f8e",""
"research-curadoria-eventos","skills/research-curadoria-eventos/SKILL.md","$CODEX_HOME/skills/research-curadoria-eventos/SKILL.md","ab8404d8de3e4838b0e560ee9105a9949a530e40aae73eba4fbbe4c02f1673f1",""
"research-pessoa-due-diligence","skills/research-pessoa-due-diligence/SKILL.md","$CODEX_HOME/skills/research-pessoa-due-diligence/SKILL.md","899d6c12a3c59f9d2515efa30c55c16ef307f892f04e49dc6acffc743a219cb9",""
